STPUMA	SERIALNO	SPORDER	ADJINC	PWGTP	SEX	RACE	AGE	COW	JWMNP	JWRIP	JWTR	MAR	REL	RETP	SCH	SCHG	SCHL	WAGP	WKHP	WKL	ESR	HISP	INDP	JWAP	JWDP	MSP	PAOC	OCCP	PINCP	POVPIP	POWPUMA	TYPE	IN_CMA
1703102	9170614020	1	999480	15	2	1	72	0	0	0	0	1	0	2700	1	0	7	0	0	3	6	1	0	0	0	1	4	0	12200	306	0	1	1
1703102	9170614020	2	999480	17	1	1	60	1	20	1	1	1	1	0	1	0	9	22000	40	1	1	1	7290	62	19	1	0	3920	22000	306	3500	1	1
1703102	9170614020	3	999480	34	2	1	52	1	20	1	1	2	2	0	1	0	11	12100	30	1	1	1	9290	86	43	3	4	4610	12100	306	3100	1	1
1703102	9170614020	4	999480	35	1	1	50	1	0	0	0	3	2	0	1	0	7	0	0	2	3	1	3790	0	0	4	0	9620	0	306	0	1	1
1703102	9170614020	5	999480	35	1	1	48	1	0	0	0	5	2	0	1	0	8	35800	40	1	3	1	3980	0	0	6	0	5620	35800	306	0	1	1
1703102	9170616371	1	999480	40	1	1	55	1	10	1	1	3	0	0	1	0	9	30000	60	1	1	1	6170	60	19	4	0	9130	30000	268	3100	1	1
1703102	9170621949	1	999480	16	2	2	32	2	10	1	1	5	0	0	1	0	6	13700	40	1	1	1	8170	177	107	6	1	3600	13700	79	3100	1	1
1703102	9170621949	2	999480	22	2	2	5	0	0	0	0	5	2	0	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	79	0	1	1
1703102	9170621949	3	999480	16	2	2	3	0	0	0	0	5	2	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	79	0	1	1
1703102	9170627100	1	999480	34	2	1	58	1	0	0	0	1	0	0	1	0	13	18200	38	1	3	1	770	0	0	1	4	1300	28800	501	0	1	1
1703102	9170627100	2	999480	38	1	1	66	1	90	1	1	1	1	18500	1	0	11	25600	12	1	1	1	8190	268	137	1	0	8610	62000	501	3500	1	1
1703102	9170630462	1	999480	29	2	2	46	1	95	0	5	5	0	0	3	7	13	63000	40	1	1	1	6870	89	31	6	4	1020	63000	501	3500	1	1
1703102	9170636217	1	999480	33	2	1	62	1	7	1	1	1	0	0	1	0	9	48000	40	1	1	1	7270	95	55	1	4	5700	48000	501	3100	1	1
1703102	9170636217	2	999480	36	1	1	65	1	0	0	0	1	1	10000	1	0	4	0	0	2	6	1	1870	0	0	1	0	9600	25700	501	0	1	1
1703102	9170638799	1	999480	33	2	1	78	0	0	0	0	2	0	12400	1	0	9	0	0	3	6	1	0	0	0	3	4	0	30100	291	0	1	1
1703102	9170640519	1	999480	41	2	1	38	2	5	1	1	1	0	0	1	0	11	8400	21	1	1	1	7860	95	55	1	2	5110	8400	501	3100	1	1
1703102	9170640519	2	999480	43	1	1	38	1	60	1	1	1	1	0	1	0	13	107000	45	1	1	1	8180	88	37	1	0	1010	107000	501	3200	1	1
1703102	9170640519	3	999480	45	2	1	11	0	0	0	0	5	2	0	2	4	3	0	0	0	0	1	0	0	0	0	0	0	0	501	0	1	1
1703102	9170640519	4	999480	43	2	1	8	0	0	0	0	5	2	0	2	3	2	0	0	0	0	1	0	0	0	0	0	0	0	501	0	1	1
1703102	9170640519	5	999480	61	1	1	32	1	50	1	1	4	3	0	1	0	9	94000	40	1	1	1	6170	284	149	5	0	9130	94000	501	3490	1	1
1703102	9170640519	6	999480	66	2	1	59	2	0	0	0	3	4	0	1	0	10	0	0	2	6	1	7870	0	0	4	4	230	18600	501	0	1	1
1703102	9170645019	1	999480	27	1	1	39	1	20	1	1	1	0	0	1	0	9	49000	40	1	1	1	770	92	49	1	0	7310	42800	379	3200	1	1
1703102	9170645019	2	999480	27	2	1	37	1	60	1	1	1	1	0	1	0	12	54000	55	1	1	1	8680	77	26	1	3	310	54000	379	3100	1	1
1703102	9170645019	3	999480	27	1	1	7	0	0	0	0	5	2	0	2	3	2	0	0	0	0	1	0	0	0	0	0	0	0	379	0	1	1
